index,word,weight,number_of_words
2572,gempar,4.0,1.0
2573,widita,4.0,1.0
2574,kebajikan,4.0,1.0
2575,tuntun,3.0,1.0
2576,bersender,4.0,1.0
2577,mematuhi,4.0,1.0
2578,beraturan,4.0,1.0
2579,hukum,3.0,1.0
2580,mencari akal,3.0,2.0
2581,fertil,4.0,1.0
2582,besar-besaran,3.0,1.0
2583,kusa,3.0,1.0
2584,bineka,3.0,1.0
2585,wantah,3.0,1.0
2586,menganut,4.0,1.0
2587,ideal,3.0,1.0
2588,meminda,4.0,1.0
2589,anakan,5.0,1.0
2590,tinggalan,4.0,1.0
2591,samun,3.0,1.0
2592,mustaid,3.0,1.0
2593,solah,4.0,1.0
2594,puadai,4.0,1.0
2595,bercita rasa,3.0,2.0
2596,artian,3.0,1.0
2597,mullah,3.0,1.0
2598,kesal,4.0,1.0
2599,aneka,3.0,1.0
2600,rahasia,3.0,1.0
2601,ganjar,5.0,1.0
2602,adakala,3.0,1.0
2603,kemantapan,4.0,1.0
2604,pendidik,3.0,1.0
2605,dispensasi,3.0,1.0
2606,penangkalan,4.0,1.0
2607,menganggar,3.0,1.0
2608,sublim,3.0,1.0
2609,tekanan mental,4.0,2.0
2610,mengganjari,3.0,1.0
2611,prominen,5.0,1.0
2612,disiplin,3.0,1.0
2613,kosen,4.0,1.0
2614,peleburan,3.0,1.0
2615,terjadi,3.0,1.0
2616,bilhak,3.0,1.0
2617,pestaka,4.0,1.0
2618,kincung,3.0,1.0
2619,perut,3.0,1.0
2620,cumil,4.0,1.0
2621,mengerikan,4.0,1.0
2622,bekal,3.0,1.0
2623,mengecamkan,3.0,1.0
2624,bersendel,4.0,1.0
2625,traktat,3.0,1.0
2626,terjemahan,3.0,1.0
2627,pejatian,3.0,1.0
2628,infinit,3.0,1.0
2629,menyanyi,4.0,1.0
2630,mengambil contoh,4.0,2.0
2631,mekar,3.0,1.0
2632,klien,4.0,1.0
2633,sosial,4.0,1.0
2634,kempuh,5.0,1.0
2635,rupa,3.0,1.0
2636,radu,3.0,1.0
2637,mengalem,4.0,1.0
2638,setujuan,4.0,1.0
2639,sembuh,4.0,1.0
2640,uluran,3.0,1.0
2641,garda,3.0,1.0
2642,kincang,3.0,1.0
2643,konspirasi,4.0,1.0
2644,susuk,3.0,1.0
2645,berkedudukan,4.0,1.0
2646,pergeseran,5.0,1.0
2647,ganti,3.0,1.0
2648,cenangkas,3.0,1.0
2649,membingkas,3.0,1.0
2650,ungkap,3.0,1.0
2651,pelesapan,3.0,1.0
2652,montok,3.0,1.0
2653,ingatan,3.0,1.0
2654,pop,5.0,1.0
2655,merahimi,4.0,1.0
2656,pola,3.0,1.0
2657,mengherankan,3.0,1.0
2658,anak didik,3.0,2.0
2659,dekorasi,5.0,1.0
2660,berstatus,4.0,1.0
2661,pertumpahan,3.0,1.0
2662,terjamin,5.0,1.0
2663,eneng,5.0,1.0
2664,statis,4.0,1.0
2665,berpengalaman,4.0,1.0
2666,comel,4.0,1.0
2667,celengan,3.0,1.0
2668,pekerjaan,3.0,1.0
2669,hutan,3.0,1.0
2670,berpacangan,3.0,1.0
2671,mukibat,3.0,1.0
2672,hilir,4.0,1.0
2673,menakjubkan,3.0,1.0
2674,populer,5.0,1.0
2675,keampuhan,4.0,1.0
2676,kelapangan,3.0,1.0
2677,perubahan,4.0,1.0
2678,tanda jasa,4.0,2.0
2679,sami,3.0,1.0
2680,pas,3.0,1.0
2681,licin,4.0,1.0
2682,mempunyai,4.0,1.0
2683,manila,5.0,1.0
2684,bayangan,3.0,1.0
2685,bersinar,4.0,1.0
2686,atraktif,4.0,1.0
2687,riil,4.0,1.0
2688,kreativitas,4.0,1.0
2689,mengetuk,3.0,1.0
2690,naik pelamin,4.0,2.0
2691,rekognisi,5.0,1.0
2692,genit,5.0,1.0
2693,letih,4.0,1.0
2694,mengatakan,3.0,1.0
2695,mewarnai,4.0,1.0
2696,kegirangan keceriaan,4.0,2.0
2697,berpamor,3.0,1.0
2698,termulia,3.0,1.0
2699,khalas,3.0,1.0
2700,kaget,3.0,1.0
2701,berkaca,4.0,1.0
2702,asoi,3.0,1.0
2703,sportif,3.0,1.0
2704,menolong,4.0,1.0
2705,terjadinya,3.0,1.0
2706,guntang-guntang,3.0,1.0
2707,damar,4.0,1.0
2708,momentum,3.0,1.0
2709,segar,4.0,1.0
2710,memburu,3.0,1.0
2711,titip api,3.0,2.0
2712,menyegarkan,3.0,1.0
2713,dodor,3.0,1.0
2714,klasik,3.0,1.0
2715,purna,3.0,1.0
2716,harga diri,3.0,2.0
2717,menerima,3.0,1.0
2718,kemufakatan,3.0,1.0
2719,ketajaman,3.0,1.0
2720,menggegerkan,4.0,1.0
2721,mengecilkan,4.0,1.0
2722,penghimpunan,3.0,1.0
2723,mengalami,3.0,1.0
2724,mengumaikan,3.0,1.0
2725,serapah,4.0,1.0
2726,federasi,3.0,1.0
2727,lunak,5.0,1.0
2728,sudah,3.0,1.0
2729,debuk,3.0,1.0
2730,pemajangan,4.0,1.0
2731,ilusi,3.0,1.0
2732,penyerobotan,3.0,1.0
2733,rekan,4.0,1.0
2734,fatanah,3.0,1.0
2735,kaki tangan,4.0,2.0
2736,kelih,4.0,1.0
2737,gerakan,4.0,1.0
2738,akuan,3.0,1.0
2739,pelayanan,3.0,1.0
2740,tersem-bunyi,5.0,1.0
2741,jelang,3.0,1.0
2742,rumput,3.0,1.0
2743,pinggul,4.0,1.0
2744,simpleks,3.0,1.0
2745,nuri,3.0,1.0
2746,pembiasaan,3.0,1.0
2747,spesialisasi,3.0,1.0
2748,kalis,4.0,1.0
2749,kemaslahatan,4.0,1.0
2750,seremeh,3.0,1.0
2751,besar,4.0,1.0
2752,seemak,3.0,1.0
2753,julat,3.0,1.0
2754,penggalian,4.0,1.0
2755,pokok,3.0,1.0
2756,catu,4.0,1.0
2757,nyana,3.0,1.0
2758,cebak,3.0,1.0
2759,bertumpuk,4.0,1.0
2760,sebetulnya,4.0,1.0
2761,pendaftaran,3.0,1.0
2762,kesemarakan,4.0,1.0
2763,berteduh,3.0,1.0
2764,fadil,3.0,1.0
2765,punia,4.0,1.0
2766,berkecambah,3.0,1.0
2767,tenaga,3.0,1.0
2768,tutuk,3.0,1.0
2769,tangsel,3.0,1.0
2770,yg dipertuan,4.0,2.0
2771,dambaan,3.0,1.0
2772,romantis,4.0,1.0
2773,monopoli,3.0,1.0
2774,interpretasi,3.0,1.0
2775,sambung tangan,4.0,2.0
2777,pantat,3.0,1.0
2778,wiladah,3.0,1.0
2779,mencontohkan,4.0,1.0
2780,Sri paduka,4.0,2.0
2781,umat,3.0,1.0
2782,penderma,3.0,1.0
2783,pengenalan,5.0,1.0
2784,labiovelar,4.0,1.0
2785,penggabungan,3.0,1.0
2786,langsung,3.0,1.0
2787,kroni,4.0,1.0
2788,sregep,4.0,1.0
2789,sangka,3.0,1.0
2790,menderaikan,3.0,1.0
2791,majenun,3.0,1.0
2792,cermin,3.0,1.0
2793,gol,3.0,1.0
2794,rampuh,3.0,1.0
2795,kampanye,3.0,1.0
2796,berputra,3.0,1.0
2797,berseni,4.0,1.0
2798,drama ria,3.0,2.0
2799,mendeteksi,3.0,1.0
2800,ambisi,4.0,1.0
2801,tedas,3.0,1.0
2802,berahi,5.0,1.0
2803,tepa salira,5.0,2.0
2804,pengumpulan,3.0,1.0
2805,mengira-ngira,3.0,1.0
2806,pengurus,3.0,1.0
2807,adab,3.0,1.0
2808,probabilitas,3.0,1.0
2809,vila,3.0,1.0
2810,degap,3.0,1.0
2811,kesetiaan,3.0,1.0
2812,mufaham,3.0,1.0
2813,penandasan,3.0,1.0
2814,komplemen,5.0,1.0
2815,terkemuka,5.0,1.0
2816,pelayan,4.0,1.0
2817,mahabah,4.0,1.0
2818,kegagahan,4.0,1.0
2819,bernafsu,3.0,1.0
2820,sekali-kali,3.0,1.0
2821,menembusi,3.0,1.0
2822,binasa,3.0,1.0
2823,efisien,4.0,1.0
2824,radikalis,3.0,1.0
2825,bergigi,3.0,1.0
2826,pelit,4.0,1.0
2827,uluran tangan,4.0,2.0
2828,melicinkan,4.0,1.0
2829,mengadunkan,3.0,1.0
2830,suasana,4.0,1.0
2831,merecoki,4.0,1.0
2832,sani,3.0,1.0
2833,cempiang,3.0,1.0
2834,kujarat,5.0,1.0
2835,zakelek,4.0,1.0
2836,margrit,3.0,1.0
2837,afdal,3.0,1.0
2838,meremehkan,4.0,1.0
2839,foto,3.0,1.0
2840,termasyhur,4.0,1.0
2841,mengimbuhkan,4.0,1.0
2842,tukar cincin,3.0,2.0
2843,betapa,4.0,1.0
2844,menambah,3.0,1.0
2845,abu,3.0,1.0
2846,bersemayam,4.0,1.0
2847,panas kuku,4.0,2.0
2848,distingtif,4.0,1.0
2849,pencegahan,4.0,1.0
2850,idaman,3.0,1.0
2851,mengacau,4.0,1.0
2852,jaswadi,3.0,1.0
2853,memukau,4.0,1.0
2854,muara,4.0,1.0
2855,berbahagia,4.0,1.0
2856,samad,3.0,1.0
2857,asa,3.0,1.0
2858,perhatian,4.0,1.0
2859,suplemen,5.0,1.0
2860,enak,5.0,1.0
2861,mendusin,4.0,1.0
2862,mewisuda,3.0,1.0
2863,mencengangkan,4.0,1.0
2864,plong,3.0,1.0
2865,kehormatan,5.0,1.0
2866,penyerasian,3.0,1.0
2867,pemuaian,3.0,1.0
2868,pelatih,3.0,1.0
2869,berkenaan,4.0,1.0
2870,perkumpulan,3.0,1.0
2871,isi perut,3.0,2.0
2872,tahan lasak,4.0,2.0
2873,pemilik,3.0,1.0
2874,bergolongan,4.0,1.0
2875,bertransaksi,3.0,1.0
2876,kreatif,4.0,1.0
2877,berkecukupan,4.0,1.0
2878,heran,4.0,1.0
2879,sangkut-paut,3.0,1.0
2880,permukiman,3.0,1.0
2881,kejadian,3.0,1.0
2882,mendapat,3.0,1.0
2883,grahita,3.0,1.0
2884,memusingkan,4.0,1.0
2885,memprediksi,3.0,1.0
2886,sebenarnya,4.0,1.0
2887,bercahaya,4.0,1.0
2888,menyepelekan,4.0,1.0
2889,berkategori,4.0,1.0
2890,autentik,3.0,1.0
2891,wawancara,3.0,1.0
2892,penahan,3.0,1.0
2893,dominasi,3.0,1.0
2894,memolakan,4.0,1.0
2895,menganggap,3.0,1.0
2896,melendeh,3.0,1.0
2897,pengasuh,3.0,1.0
2898,memendam,4.0,1.0
2899,prabu,4.0,1.0
2900,bapanda,3.0,1.0
2901,rotan,4.0,1.0
2902,kudus,4.0,1.0
2903,berderajat,4.0,1.0
2904,sukses,3.0,1.0
2905,indah ambang,4.0,2.0
2906,gombrong,3.0,1.0
2907,menebak,3.0,1.0
2908,tanganan,3.0,1.0
2909,ya,4.0,1.0
2910,rani,4.0,1.0
2911,dendam berahi,5.0,2.0
2912,gombrang,3.0,1.0
2913,kaci,4.0,1.0
2914,lembuk,3.0,1.0
2915,elegan,4.0,1.0
2916,gagah,5.0,1.0
2917,penolong,4.0,1.0
2918,antusiasme,3.0,1.0
2919,amanah,5.0,1.0
2920,mengganggu,4.0,1.0
2921,energi,3.0,1.0
2922,isbat,3.0,1.0
2923,menongkat,4.0,1.0
2924,cublik,4.0,1.0
2925,menggemburkan melambuk,3.0,2.0
2926,anggapan,3.0,1.0
2927,positif,4.0,1.0
2928,bersauh,4.0,1.0
2929,nyamleng,5.0,1.0
2930,bersaur,3.0,1.0
2931,tersengal-sengal,3.0,1.0
2932,menumbuk,4.0,1.0
2933,pegawai,3.0,1.0
2934,mesra,4.0,1.0
2935,penunggu,3.0,1.0
2936,memalu,3.0,1.0
2937,tajam pikiran,4.0,2.0
2938,garing,5.0,1.0
2939,bersitegang,4.0,1.0
2940,intrik,4.0,1.0
2941,manggala,3.0,1.0
2942,membalas,4.0,1.0
2943,permadani,3.0,1.0
2944,paparan,3.0,1.0
2945,kekekalan,3.0,1.0
2946,kredibel,3.0,1.0
2947,guar,3.0,1.0
2948,gerak hati,4.0,2.0
2949,kipu,4.0,1.0
2950,bumbu,5.0,1.0
2951,kemunculan,3.0,1.0
2952,keriaan,3.0,1.0
2953,sains,3.0,1.0
2954,nian,4.0,1.0
2955,kasatmata,4.0,1.0
2956,jamik,3.0,1.0
2957,keseimbangan,4.0,1.0
2958,lebai,4.0,1.0
2959,seringai,4.0,1.0
2960,berhasil,3.0,1.0
2961,terbatas,3.0,1.0
2962,definisi,3.0,1.0
2963,komplot,4.0,1.0
2964,afirmasi,3.0,1.0
2965,jamhur,3.0,1.0
2966,gres,4.0,1.0
2967,gerha,3.0,1.0
2968,mengalirkan darah,4.0,2.0
2969,dana,4.0,1.0
2970,tabung bambu,3.0,2.0
2971,tahu aturan,4.0,2.0
2972,menerka,3.0,1.0
2973,kerukunan,3.0,1.0
2974,keterbukaan,5.0,1.0
2975,kasual,3.0,1.0
2976,teja,4.0,1.0
2977,berlagak,4.0,1.0
2978,bersayap,4.0,1.0
2979,donor,3.0,1.0
2980,akomodasi,3.0,1.0
2981,tebak,3.0,1.0
2982,cegar,4.0,1.0
2983,terbayang-bayang,3.0,1.0
2984,bertambatan,3.0,1.0
2985,menjalani,3.0,1.0
2986,keenakan,4.0,1.0
2987,melewati,3.0,1.0
2988,jawara,3.0,1.0
2989,rakitan,3.0,1.0
2990,suara halus,4.0,2.0
2991,rawa,4.0,1.0
2992,pengukur,3.0,1.0
2993,mempercantik,3.0,1.0
2994,dalang,3.0,1.0
2995,mengangkat-angkat,4.0,1.0
2996,bentukan,3.0,1.0
2997,langgeng,4.0,1.0
2998,deduksi,3.0,1.0
2999,bestari,4.0,1.0
3000,ringan tulang,5.0,2.0
3001,prasarana,3.0,1.0
3002,menyandar,4.0,1.0
3003,wasiat,4.0,1.0
3004,bisnis,3.0,1.0
3005,langkah,4.0,1.0
3006,tongkeng,5.0,1.0
3007,menguntir,4.0,1.0
3008,masakan,3.0,1.0
3009,tergantung,3.0,1.0
3010,keputusan,4.0,1.0
3011,menyapih,4.0,1.0
3012,bayang-bayang,3.0,1.0
3013,bercokol,3.0,1.0
3014,sinkronisasi,3.0,1.0
3015,menjelajah,3.0,1.0
3016,mencari jalan,3.0,2.0
3017,meremas-remas,3.0,1.0
3018,terala,3.0,1.0
3019,memunculkan,3.0,1.0
3020,bermacam-macam,3.0,1.0
3021,upa-,4.0,1.0
3022,bulang,3.0,1.0
3023,kemurahan,4.0,1.0
3024,prayojana,3.0,1.0
3025,berduit,4.0,1.0
3026,biadab,3.0,1.0
3027,tajam,4.0,1.0
3028,limbukan,3.0,1.0
3029,individual,4.0,1.0
3030,suguhan,4.0,1.0
3031,terkadang,3.0,1.0
3032,debat,3.0,1.0
3033,kedalaman,3.0,1.0
3034,linuhung,3.0,1.0
3035,berseri,4.0,1.0
3036,korek,4.0,1.0
3037,infak,4.0,1.0
3038,maskapai,3.0,1.0
3039,mengarahkan,3.0,1.0
3040,ovum,4.0,1.0
3041,ugal-ugalan,3.0,1.0
3042,keurusan,4.0,1.0
3043,centil,5.0,1.0
3044,paradigma,3.0,1.0
3045,tempoh,3.0,1.0
3046,lentera,4.0,1.0
3047,berpilin,3.0,1.0
3048,kandis,4.0,1.0
3049,selamatan,4.0,1.0
3050,andal,5.0,1.0
3051,benci,4.0,1.0
3052,biduanda,5.0,1.0
3053,getas,5.0,1.0
3054,desakan,4.0,1.0
3055,pelupuk mata,4.0,2.0
3056,bertaruk,3.0,1.0
3057,konsensus,3.0,1.0
3058,meluncurkan,3.0,1.0
3059,anteng,4.0,1.0
3060,ulasan,3.0,1.0
3061,anak Adam,3.0,2.0
3062,integrasi,3.0,1.0
3063,pendekar,3.0,1.0
3064,keperluan,5.0,1.0
3065,dikte,3.0,1.0
3066,lapang,3.0,1.0
3067,berilmu,4.0,1.0
3068,spesifikasi,3.0,1.0
3069,melantunkan,3.0,1.0
3070,meruncing,4.0,1.0
3071,dakaik,3.0,1.0
3072,desain,4.0,1.0
3073,memeluk,4.0,1.0
3074,bertunas,3.0,1.0
3075,ceri,4.0,1.0
3076,berkaitan,3.0,1.0
3077,ria,4.0,1.0
3078,pertolongan,4.0,1.0
3079,simpatisan,3.0,1.0
3080,liputan,3.0,1.0
3081,singkap,3.0,1.0
3082,sembir,4.0,1.0
3083,mendandankan,3.0,1.0
3084,ihsan,4.0,1.0
3085,penegasan,3.0,1.0
3086,defensif,4.0,1.0
3087,sepele,4.0,1.0
3088,bersangga,4.0,1.0
3089,peresapan,3.0,1.0
3090,selesa,3.0,1.0
3091,struktur,3.0,1.0
3092,terpuji,4.0,1.0
3093,ricuh,3.0,1.0
3094,ajudan,4.0,1.0
3095,wagu,4.0,1.0
3096,mengononkan,3.0,1.0
3097,perbaikan,3.0,1.0
3098,tabah,5.0,1.0
3099,gemi,3.0,1.0
3100,tenaga kerja,3.0,2.0
3101,pendahuluan,3.0,1.0
3102,menghebohkan,4.0,1.0
3103,ranum,5.0,1.0
3104,lembek,5.0,1.0
3105,kejuruan,3.0,1.0
3106,lektur,4.0,1.0
3107,berbetulan,3.0,1.0
3108,sukar,4.0,1.0
3109,pilihan,5.0,1.0
3110,semu,3.0,1.0
3111,rezeki,3.0,1.0
3112,baca,3.0,1.0
3113,trendi,3.0,1.0
3114,kegunaan,4.0,1.0
3115,imaji,3.0,1.0
3116,bahaduri,4.0,1.0
3117,semringah,4.0,1.0
3118,wirid,4.0,1.0
3119,cokol,4.0,1.0
3120,energik,5.0,1.0
3121,pemantapan,4.0,1.0
3122,makruf,4.0,1.0
3123,melisankan,3.0,1.0
3124,teraso,4.0,1.0
3125,intensi,3.0,1.0
3126,gutuk,4.0,1.0
3127,terkadang-kadang,3.0,1.0
3128,cemerlang,4.0,1.0
3129,gambir,3.0,1.0
3130,bermakna,4.0,1.0
3131,makbul,3.0,1.0
3132,jelak,3.0,1.0
3133,menyampaikan,3.0,1.0
3134,menyebut,3.0,1.0
3135,mementingkan,4.0,1.0
3136,tokcer,4.0,1.0
3137,serbaserbi,3.0,1.0
3138,bikinan,3.0,1.0
3139,kepiawaian,4.0,1.0
3140,penentuan,3.0,1.0
3141,nasabah,4.0,1.0
3142,segeh,3.0,1.0
3143,mengganjar,5.0,1.0
3144,terka,3.0,1.0
3145,linu,4.0,1.0
3146,mahfum,4.0,1.0
3147,teguran,3.0,1.0
3148,kemas,3.0,1.0
3149,tercapai,3.0,1.0
3150,lini,4.0,1.0
3151,atom,3.0,1.0
3152,faal,4.0,1.0
3153,berjenis-jenis,3.0,1.0
3154,mustakim,4.0,1.0
3155,jumpa muka,3.0,2.0
3156,malim,3.0,1.0
3157,kelimpahan,4.0,1.0
3158,mendengungkan,3.0,1.0
3159,genial,4.0,1.0
3160,alangkah,4.0,1.0
3161,spontan,3.0,1.0
3162,tolakan,4.0,1.0
3163,berkuasa,4.0,1.0
3164,tercermin,3.0,1.0
3165,mendikte,3.0,1.0
3166,keurus,4.0,1.0
3167,selera,3.0,1.0
3168,jigrah,3.0,1.0
3169,bonyok,5.0,1.0
3170,kismat,4.0,1.0
3171,tangkul,3.0,1.0
3172,kreasi,3.0,1.0
3173,terbuka mata,4.0,2.0
3174,pengandaian,3.0,1.0
3175,kapasitas,3.0,1.0
3176,berkait,3.0,1.0
3177,ciptaan,3.0,1.0
3178,hakimah,4.0,1.0
3179,akhlak,4.0,1.0
3180,menuntun,3.0,1.0
3181,lapangan,3.0,1.0
3182,mengipasi,3.0,1.0
3183,neces,4.0,1.0
3184,doktrin,3.0,1.0
3185,sibuk,4.0,1.0
3186,efektif,5.0,1.0
3187,gani,4.0,1.0
3188,hulubalang,3.0,1.0
3189,arif,4.0,1.0
3190,buyung,4.0,1.0
3191,lingkungan,3.0,1.0
3192,keluaran,3.0,1.0
3193,meragam,4.0,1.0
3194,pembimbing,3.0,1.0
3195,kisas,3.0,1.0
3196,menyerupai,4.0,1.0
3197,bumbung,3.0,1.0
3198,nomine,5.0,1.0
3199,bujang,4.0,1.0
3200,memahami,3.0,1.0
3201,khuluk,3.0,1.0
3202,konklusi,3.0,1.0
3203,suapan,4.0,1.0
3204,berperingkat,4.0,1.0
3205,panglima,3.0,1.0
3206,tenggang rasa,5.0,2.0
3207,berjunjungan,4.0,1.0
3208,legawa,4.0,1.0
3209,mengeja,3.0,1.0
3210,sambungan tangan,4.0,2.0
3211,jalan tengah,3.0,2.0
3212,natur,3.0,1.0
3213,ajojing,3.0,1.0
3214,berwibawa,3.0,1.0
3215,mengucapkan,3.0,1.0
3216,tunggak,3.0,1.0
3217,berdagang,3.0,1.0
3218,pukal,3.0,1.0
3219,bersaji,4.0,1.0
3220,orientasi,3.0,1.0
3221,daulat,4.0,1.0
3222,ilmu,4.0,1.0
3223,kontan,3.0,1.0
3224,sing,5.0,1.0
3225,berlanglang,4.0,1.0
3226,berlagu,4.0,1.0
3227,merger,3.0,1.0
3228,alih generasi,4.0,2.0
3229,permulaan,3.0,1.0
3230,kemegahan,4.0,1.0
3231,pesam,4.0,1.0
3232,kucur,4.0,1.0
3233,api,4.0,1.0
3234,caplok,3.0,1.0
3235,gangsar,4.0,1.0
3236,zakiah,4.0,1.0
3237,dakwa,3.0,1.0
3238,kelajuan,4.0,1.0
3239,kompetensi,3.0,1.0
3240,adiluhung,3.0,1.0
3241,konseptual,3.0,1.0
3242,sentosa,5.0,1.0
3243,bakti,4.0,1.0
3244,sebukan,3.0,1.0
3245,meraun,4.0,1.0
3246,merencanakan,3.0,1.0
3247,musara,3.0,1.0
3248,sandaran,3.0,1.0
3249,meriwayatkan,3.0,1.0
3250,gempa bumi,4.0,2.0
3251,banjir,4.0,1.0
3252,bertenggang,3.0,1.0
3253,melilit,3.0,1.0
3254,jajak,3.0,1.0
3255,mencerna,3.0,1.0
3256,testimoni,3.0,1.0
3257,kedoyanan,3.0,1.0
3258,salat,5.0,1.0
3259,bareng,3.0,1.0
3260,berotak tajam,4.0,2.0
3261,berlarasan,3.0,1.0
3262,pencatatan,3.0,1.0
3263,melontarkan,3.0,1.0
3264,mengabaikan,4.0,1.0
3265,berdarah,4.0,1.0
3266,manusia,3.0,1.0
3267,terpegah,5.0,1.0
3268,panil,4.0,1.0
3269,berpedoman,4.0,1.0
3270,kiat,3.0,1.0
3271,kias,4.0,1.0
3272,berpunya,4.0,1.0
3273,giliran,3.0,1.0
3274,administrator,3.0,1.0
3275,makna,5.0,1.0
3276,embel-embel,5.0,1.0
3277,berperang,3.0,1.0
3278,kedai susu,4.0,2.0
3279,kenyang,3.0,1.0
3280,heban,4.0,1.0
3281,daya pikir,3.0,2.0
3282,mutakhir,4.0,1.0
3283,interes,4.0,1.0
3284,kasihan,4.0,1.0
3285,melintangi,3.0,1.0
3286,buaian,3.0,1.0
3287,ketenteraman,4.0,1.0
3288,organisasi,3.0,1.0
3289,imitasi,3.0,1.0
3290,bertelinga merah,4.0,2.0
3291,mengentengkan,4.0,1.0
3292,mengutarakan,3.0,1.0
3293,iktifak,4.0,1.0
3294,berdaya,3.0,1.0
3295,puja,4.0,1.0
3296,menyanjung,4.0,1.0
3297,emong,3.0,1.0
3298,superior,4.0,1.0
3299,takar,3.0,1.0
3300,muktabar,3.0,1.0
3301,babaran,3.0,1.0
3302,pemair,3.0,1.0
3303,berakibat,3.0,1.0
3304,gudi,4.0,1.0
3305,prakiraan,3.0,1.0
3306,terbaru,4.0,1.0
3307,meniru,4.0,1.0
3308,gempa,4.0,1.0
3309,berkekuatan,5.0,1.0
3310,jangka,3.0,1.0
3311,bahadur,5.0,1.0
3312,bayangkara,3.0,1.0
3313,lajnah,3.0,1.0
3314,pakat,4.0,1.0
3315,simpanan,3.0,1.0
3316,meronda,4.0,1.0
3317,persembahan,4.0,1.0
3318,santunan,3.0,1.0
3319,mengecat,4.0,1.0
3320,terkilan,3.0,1.0
3321,eksemplar,3.0,1.0
3322,perserupaan,4.0,1.0
3323,artifisial,3.0,1.0
3324,mati,4.0,1.0
3325,unda,3.0,1.0
3326,model,3.0,1.0
3327,vak,3.0,1.0
3328,eco,5.0,1.0
3329,pembaruan,4.0,1.0
3330,tenang,5.0,1.0
3331,teoretis,3.0,1.0
3332,reaksioner,3.0,1.0
3333,santun,4.0,1.0
3334,ornamen,5.0,1.0
3335,belagu,4.0,1.0
3336,pengalasan,3.0,1.0
3337,menelusuri,3.0,1.0
3338,buatan,3.0,1.0
3339,kenamaan,5.0,1.0
3340,dukungan,4.0,1.0
3341,berpegang,4.0,1.0
3342,pertemuan,3.0,1.0
3343,adika,5.0,1.0
3344,kadang-kadang,3.0,1.0
3345,final,3.0,1.0
3346,mengumumkan,3.0,1.0
3347,insinye,4.0,1.0
3348,terbayang,3.0,1.0
3349,tata tertib,3.0,2.0
3350,terjajah,3.0,1.0
3351,bertenaga,5.0,1.0
3352,ruji,3.0,1.0
3353,ketertiban,3.0,1.0
3354,terurus,4.0,1.0
3355,pinisepuh,3.0,1.0
3356,bukan main,4.0,2.0
3357,lembik,5.0,1.0
3358,seloroh,3.0,1.0
3359,dobrak,3.0,1.0
3360,bidasan,3.0,1.0
3361,tertib,4.0,1.0
3362,batasan,3.0,1.0
3363,menimba,4.0,1.0
3364,idam,3.0,1.0
3365,tabe,3.0,1.0
3366,melecehkan,4.0,1.0
3367,lila,4.0,1.0
3368,sering,3.0,1.0
3369,terbit selera,3.0,2.0
3370,meloloskan,3.0,1.0
3371,dadak,3.0,1.0
3372,jenang,4.0,1.0
3373,serbasama,3.0,1.0
3374,paduka Tuan,4.0,2.0
3375,ceria,4.0,1.0
3376,kemudi,3.0,1.0
3377,absurd,3.0,1.0
3378,labuhan,3.0,1.0
3379,transaksi,4.0,1.0
3380,gobek,3.0,1.0
3381,menyusahkan,4.0,1.0
3382,ikutan,4.0,1.0
3383,terbayan,3.0,1.0
3384,saruk,4.0,1.0
3385,kemudahan,3.0,1.0
3386,dingin,4.0,1.0
3387,varia,3.0,1.0
3388,itifak,4.0,1.0
3389,ketibaan,3.0,1.0
3390,merawikan,3.0,1.0
3391,berpaut,3.0,1.0
3392,tiruan,3.0,1.0
3393,sebab,3.0,1.0
3394,membimbit,3.0,1.0
3395,percuma,4.0,1.0
3396,gemar,5.0,1.0
3397,sput,4.0,1.0
3398,merakit,3.0,1.0
3399,bertanduk,3.0,1.0
3400,anjung,4.0,1.0
3401,membubuhkan,4.0,1.0
3402,jasa,4.0,1.0
3403,jidur,3.0,1.0
3404,berpelajaran,4.0,1.0
3405,penerang,4.0,1.0
3406,menyanyikan,3.0,1.0
3407,impian,3.0,1.0
3408,perantaraan,4.0,1.0
3409,prasetia,3.0,1.0
3410,teratas,3.0,1.0
3411,berseluk,3.0,1.0
3412,simpuh,3.0,1.0
3413,belok,3.0,1.0
3414,mengambil ibarat,4.0,2.0
3415,hiruk-pikuk,4.0,1.0
3416,memartil,3.0,1.0
3417,pukauan,4.0,1.0
3418,konsolidasi,3.0,1.0
3419,sehat,4.0,1.0
3420,kelar,3.0,1.0
3421,kes,3.0,1.0
3422,mengoles,4.0,1.0
3423,berkandung,5.0,1.0
3424,berimbas,3.0,1.0
3425,memang,4.0,1.0
3426,luluh,5.0,1.0
3427,konstruktif,3.0,1.0
3428,rama,3.0,1.0
3429,girik,3.0,1.0
3430,elektromotif,3.0,1.0
3431,mencemaskan,4.0,1.0
3432,berkepercayaan,4.0,1.0
3433,tegang,4.0,1.0
3434,panitia,3.0,1.0
3435,bertepat guna,4.0,2.0
3436,melahirkan,3.0,1.0
3437,perusahaan,3.0,1.0
3438,afair,3.0,1.0
3439,budiman,4.0,1.0
3440,gemirang,4.0,1.0
3441,mustahil,3.0,1.0
3442,sesambat,5.0,1.0
3443,enteng,4.0,1.0
3444,mengimbasi,3.0,1.0
3445,tiang pancang,3.0,2.0
3446,otentik,3.0,1.0
3447,menangkap,3.0,1.0
3448,tersohor,5.0,1.0
3449,bawaan,3.0,1.0
